SMILES,Title,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
c1ccc(-c2c(-c3ccncc3)[nH]c(-c3ccc(NS(c4ccc(F)cc4)(=O)=O)cc3)n2)cc1F,ReINVENT_13,-5.56364388399709,-6.65778448260845,488.5190000000002,5.884700000000003,2.3406270863993814,0.3122562086264086,87.74,4,2,6,True,CHEMBL360573,0.4962872450418272,CHEMBL401123,0.4770040727128241,0.20689655172413793,0.24050632911392406
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc2c(ccnc2C(C)=NOC)c1,ReINVENT_14,-6.03374765490782,-6.37121517992915,437.4780000000002,5.863400000000004,2.7297030646288896,0.2758485933865208,76.05,5,1,5,True,51236887,0.5409686262564728,CHEMBL3394102,0.4621564072783585,0.13541666666666666,0.23076923076923078
c1(-c2c3c(c4c(oc(C(N)=O)c4)c2)cccc3)cscc1,ReINVENT_15,-8.50182206394042,-8.17398169295513,293.34700000000004,4.413400000000002,2.34972760529976,0.5947281334204084,56.23,3,1,2,True,50230857,0.6930998970133883,CHEMBL220227,0.6508905013192612,0.22580645161290322,0.1111111111111111
c1(-c2[nH]c3c(c(-c4ccncc4)ccn3)c2)ccncc1,ReINVENT_16,-9.08927940106715,-9.05608457123321,272.31100000000004,3.6869000000000014,2.3055271369156856,0.6052054517556368,54.46,3,1,2,True,CHEMBL1210175,0.736593886462882,51238049,0.6407986111111111,0.17307692307692307,0.08620689655172414
c1(-c2cc3c(-c4ccncc4)c[nH]c3nc2)cc2c([nH]c(-c3ccncc3)n2)cc1,ReINVENT_17,-8.64014252690466,-7.4534448012416,388.4340000000001,5.2302000000000035,2.5569017250458828,0.4347629548155018,83.14,4,2,3,True,CHEMBL4449746,0.6295333580888725,CHEMBL3220496,0.7102169434007999,0.4,0.10869565217391304
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccncc3)n2)ccc2ncccc12,ReINVENT_18,-6.19729703051575,-7.26728734586266,349.39700000000005,4.748900000000003,2.34547126098332,0.5103305655509991,67.35,4,1,3,True,CHEMBL1093390,0.5571907154821727,CHEMBL1080582,0.5571590909090909,0.1323529411764706,0.15789473684210525
N1(CC)CCN(c2c3c(-c4ccncc4)c[nH]c3ncn2)CC1,ReINVENT_19,-8.33781911653007,-7.56500134072677,308.3890000000001,2.1617999999999995,2.4479429403946487,0.8032432101857586,60.94,5,1,3,True,111093,0.5748442254745689,CHEMBL1946329,0.5702691157624946,0.12048192771084337,0.12987012987012986
c1(-c2[nH]c3ccc(-c4c5c([nH]c4)ccc(-c4ccc(F)cc4)c5)cc3n2)cnc(N2CCOCC2)cc1,ReINVENT_20,-8.07854742095923,-7.41224540530812,489.5540000000003,6.415900000000005,2.572694986577739,0.2999924723824992,69.83,4,2,4,True,CHEMBL1164526,0.6264512383900929,50383511,0.48793401893900823,0.11650485436893204,0.16666666666666666
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cncnc1,ReINVENT_21,-6.02281420421901,-7.16765642752152,317.327,3.7348000000000017,2.359249055344298,0.6249110430555191,67.35,4,1,3,True,CHEMBL558982,0.6247307195174494,CHEMBL1080582,0.5239761988099405,0.1206896551724138,0.13157894736842105
c1(-c2cc(-c3cnc4c(c(-c5cnc6ccccc5c6)[nH]n4)c3)ccn2)cn(C)nc1,ReINVENT_22,-8.8239327614132,-9.24213215961615,403.44900000000007,4.522400000000005,4.001534136558719,0.47861303218869317,85.17,6,1,3,True,CHEMBL175956,0.6237268518518518,CHEMBL3099968,0.5815040208650293,0.18604651162790697,0.17582417582417584
c1(-c2c[nH]cnc2=Nc2ccncc2)ccncc1,ReINVENT_23,-7.09500280070264,-6.46710231516638,249.27700000000007,2.0991,3.0092214131601445,0.7558781974587402,66.82,4,1,2,True,50506652,0.7102040816326531,CHEMBL1784665,0.7495291902071564,0.0625,0.2127659574468085
[nH]1cc(-c2c(-c3ccncc3)nc(-c3ccc(S(=O)(C)=O)cc3)[nH]2)cnc1=N,ReINVENT_24,-6.74748100905385,-6.05011596897928,392.4440000000001,2.4117699999999997,2.8786721600472784,0.4912065902549343,128.24,6,3,4,True,50932585,0.5787396562698918,CHEMBL391656,0.4163232485676952,0.12121212121212122,0.10526315789473684
c1(-c2c(-c3ccncc3)[nH]c(-c3cc(F)c(F)cc3)n2)cc2c(cc1)nccc2,ReINVENT_25,-6.28836273473042,-8.42412394776509,384.38900000000007,5.632100000000003,2.361737500706747,0.43843494643626846,54.46,3,1,3,True,CHEMBL3652541,0.5834487970777176,CHEMBL220227,0.5677202420981843,0.13580246913580246,0.24193548387096775
c1ccc(-c2cnc3c(c(-c4ccncc4)c[nH]3)c2)cc1CN1CCCC1,ReINVENT_26,-9.49102403094193,-8.84864747439595,354.4570000000003,4.887700000000005,2.2623345088465676,0.5675242773704602,44.81,3,1,4,True,CHEMBL3719193,0.6329483436984389,CHEMBL1923200,0.6098783106657122,0.125,0.10227272727272728
c1c(-c2c(-c3ccncc3)[nH]c(-c3cocc3)n2)ccc(-c2cc(O)ccc2)c1,ReINVENT_27,-7.28416296592628,-6.80821742740856,379.4190000000001,5.7713000000000045,2.462840771252889,0.4155102394123691,74.94,4,2,4,True,13971,0.5384855744193313,50543920,0.5763706009097438,0.15384615384615385,0.4
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(-c4ccncc4)cc3)n2)ccc(F)c1,ReINVENT_28,-5.87492323687177,-7.52263522309135,392.437,6.006800000000004,2.2217106792377592,0.40763260507646026,54.46,3,1,4,True,CHEMBL594523,0.6023894361769021,CHEMBL10,0.6591330122267507,0.11363636363636363,0.725
c1(-c2cc3c(-c4ccncc4)c[nH]c3cc2)cncc(-c2cccc(F)c2)c1,ReINVENT_29,-9.18084530377329,-10.274986854813,365.4110000000001,6.098000000000004,2.260474087758121,0.4197430735406907,41.57,2,1,3,True,CHEMBL4449746,0.7171757770632369,CHEMBL4442806,0.6749412072119154,0.29411764705882354,0.14102564102564102
c1c(-c2ccc3c([nH]cc3-c3ccncc3)c2)ccc2c1CCC2=NO,ReINVENT_30,-7.50939032062132,-8.60477027409107,339.3980000000002,5.021400000000004,2.5256636552978264,0.39770885708940523,61.269999999999996,3,2,2,True,CHEMBL261052,0.5865237366003062,50319425,0.6525446670276123,0.1643835616438356,0.1518987341772152
c1c(-c2c[nH]c3c2cc(-c2ccc(O)cc2)cn3)ccnc1,ReINVENT_31,-9.26862036538084,-8.62335180388888,287.322,3.9975000000000023,2.1976170849974075,0.5855451915458815,61.8,3,2,2,True,CHEMBL573007,0.7115609837711226,CHEMBL1681992,0.5821876867901972,0.18032786885245902,0.08695652173913043
c1cc(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc2c1NCC(=O)N2,ReINVENT_32,-6.87170040133921,-8.21913079014573,385.4020000000001,4.308800000000002,2.6053288129239416,0.49080058172087165,82.7,4,3,3,True,CHEMBL3652541,0.5751094434021263,CHEMBL1946331,0.6405748748877198,0.19230769230769232,0.0963855421686747
[nH]1cc(-c2c[nH]c3ccc(-c4ccncc4)cc32)ccc1=NC1CCCC1,ReINVENT_33,-7.77434904487615,-7.88779129625814,354.4570000000002,5.068300000000003,2.925525961838021,0.530188745775308,56.83,2,2,3,True,CHEMBL4454448,0.668848167539267,50383511,0.6258899676375405,0.3194444444444444,0.21951219512195122
O=c1n(C)c(-c2ccncc2)c(-c2ccc3c(c2)cc(-c2ccccn2)[nH]3)nc1,ReINVENT_34,-9.11774658647868,-6.61892904561255,379.42300000000006,4.052600000000003,2.652741301611723,0.5129848500564925,76.46000000000001,5,1,3,True,346049,0.6017492711370263,CHEMBL1822137,0.5639595677936563,0.21686746987951808,0.16129032258064516
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc2c(nc(Cc3[nH]c(N4CCOCC4)cc(=O)n3)cc2)c1,ReINVENT_35,-6.44334847824933,-8.0510293013489,559.6050000000004,5.003700000000004,3.0218681200120256,0.2952312468806864,112.67999999999999,7,2,6,True,CHEMBL4561291,0.3986667820967882,79656,0.4017730199882914,0.26373626373626374,0.13333333333333333
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc2c(cc1)CNCC2O,ReINVENT_36,-7.08024774207832,-9.10319456361372,386.4300000000001,4.081400000000004,3.0960145082776886,0.4960174118245861,73.83,4,3,3,True,CHEMBL1957956,0.5845866853212078,CHEMBL1946331,0.6033304337020007,0.18085106382978725,0.14285714285714285
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(-c4ccc(-c5ccc(CN(C)C)cc5)cc4)cc3)n2)ccc(F)c1,ReINVENT_37,-2.01417137546328,-6.9527032845921,524.6430000000003,8.340400000000006,2.4025024177377947,0.22827231373919576,44.81,3,1,7,True,CHEMBL337642,0.3193361470777595,CHEMBL1761561,0.5907706506691278,0.0821917808219178,0.10227272727272728
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccncc3)n2)ccc2ccccc12,ReINVENT_38,-6.68735418888795,-8.25013313043994,348.40900000000005,5.353900000000003,2.2323037396157996,0.4777835765126081,54.46,3,1,3,True,13925,0.6181378168386193,CHEMBL220227,0.5970592393609501,0.15151515151515152,0.2641509433962264
n1c(-c2c[nH]c3ncc(-c4ccc(NS(=O)(C)=O)cc4)cc32)cc(-c2ccncc2)nc1,ReINVENT_39,-10.1521748068608,-9.0001212777752,442.50400000000013,4.120400000000003,2.5769731567879965,0.42324390578334964,113.52000000000001,6,2,5,True,CHEMBL572779,0.6134001711700696,CHEMBL4867426,0.5662105154851322,0.15384615384615385,0.10679611650485436
c1(-c2ccc(-c3cc(=Nc4cc(-c5cccnc5)ccn4)cc[nH]3)cc2)cnncc1,ReINVENT_40,-8.73909431242918,-7.84340759454373,402.46100000000007,4.8281000000000045,3.0053161105502877,0.466981118764891,79.71,5,1,4,True,CHEMBL401918,0.60789726356217,CHEMBL1771658,0.6104021189501565,0.15584415584415584,0.14285714285714285
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc(-c2cccnc2)ccc1,ReINVENT_41,-6.96574763035792,-8.84980063645513,392.43700000000007,6.006800000000004,2.2620574380968783,0.4076326050764602,54.46,3,1,4,True,CHEMBL3719193,0.6003847078624669,CHEMBL1784666,0.5780269656921639,0.12195121951219512,0.3090909090909091
c1(-c2ccncc2)c(-c2cc3c(cc2)nccn3)[nH]c(-c2ccc(N3CCC(C(N)O)CC3)cc2)n1,ReINVENT_42,-6.97193772518862,-7.23273491848521,477.57200000000034,4.242400000000003,3.2223546651431842,0.3241672408045681,116.84,7,3,5,False,50721049,0.48307101024890187,CHEMBL1761581,0.49969062140899845,0.08823529411764706,0.15841584158415842
C1N(c2ccc(-c3cc[nH]c(=Nc4cnc(CN5CCOCC5)cc4)n3)cc2C(F)(F)F)CCOC1,ReINVENT_43,-8.17193198587652,-7.10398118085804,500.5250000000003,3.391700000000002,3.1327527138589053,0.5788596063280823,78.87,7,1,5,True,CHEMBL1940251,0.5311445508435932,50329723,0.5981465880370682,0.12280701754385964,0.1320754716981132
c1(-c2c(-c3cc(F)ccc3)nc(-c3cnc(CN4CCOCC4)cc3)[nH]2)ncccc1,ReINVENT_44,-6.61740131254335,-7.25527635951746,415.47200000000015,4.172000000000002,2.478910894237849,0.529909870199676,66.93,5,1,5,True,CHEMBL558982,0.5548263930318578,CHEMBL10,0.6160640678365328,0.14473684210526316,0.2972972972972973
c1(-c2cc(-c3ccncc3)cc(-c3c[nH]c4ccccc34)n2)cnccc1,ReINVENT_45,-8.31117382360644,-8.23252702899934,348.40900000000005,5.353900000000004,2.2603635686756274,0.4777835765126081,54.46,3,1,3,True,CHEMBL3652545,0.645735578250069,CHEMBL1761568,0.536065018625127,0.11538461538461539,0.15294117647058825
c1cc(-c2c(-c3ccncc3)[nH]c(-c3ccc(Cl)cc3)n2)cc2c1N1C(C(CNC(=O)C)OC1=O)CO2,ReINVENT_46,-6.45943966545707,-8.21936598239509,515.9570000000002,4.6814000000000044,3.611328027718237,0.3991593842861356,109.44000000000001,6,2,5,True,13955,0.44215938303341906,CHEMBL4847175,0.5385627054955378,0.22772277227722773,0.17857142857142858
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc(-c2ccc(-c3nc[nH]c3)cc2)ccc1,ReINVENT_47,-6.682543700383,-8.32128939489743,457.5120000000001,7.0019000000000045,2.635643648588145,0.29272305372128515,70.25,3,2,5,True,CHEMBL593374,0.5334862385321101,CHEMBL1946333,0.6279044750430293,0.15306122448979592,0.1566265060240964
c1(-c2ccncc2)c(-c2cc3c(cc2)ccn3C)[nH]c(-c2ccncc2)n1,ReINVENT_48,-7.03001822602077,-8.3780147770832,351.41300000000007,4.692400000000004,2.517990577222637,0.5127670151996533,59.39,4,1,3,False,CHEMBL3661029,0.6017721518987342,CHEMBL1946331,0.6366504535296438,0.1,0.11688311688311688
c1cc(-c2cc3c(-c4[nH]c5c(cc(-c6cn[nH]c6)cc5Cl)n4)ccnc3[nH]2)cc2cn[nH]c12,ReINVENT_49,-7.60954426615756,-7.59403443967722,450.8930000000001,5.693000000000003,3.139561610547257,0.2764087443407709,114.72,4,4,3,True,CHEMBL410319,0.6363841044692109,CHEMBL1923208,0.5553655408294143,0.10377358490566038,0.13541666666666666
c1(-c2ccncc2)c(-c2ccncc2)[nH]c(-c2ccc([S+]([O-])C)cc2)n1,ReINVENT_50,-6.84019467090353,-7.73877493509948,360.4420000000001,3.938100000000003,3.3325483498567037,0.5592976112648805,77.52,4,1,4,False,50932585,0.611852642819007,CHEMBL1822146,0.5287790365030324,0.11864406779661017,0.10344827586206896
n1c(-c2cc3c(cc2)[nH]c(-c2ccncc2)c3)c[nH]c1-c1ccncc1,ReINVENT_51,-6.52393077553513,-8.47882899602006,337.3860000000001,4.682000000000002,2.693739548635257,0.5019390420740851,70.25,3,2,3,True,CHEMBL259838,0.6198756007916313,CHEMBL1771666,0.6735937932945415,0.125,0.09333333333333334
c1sc2c(-c3c(-c4ccncc4)[nH]c(-c4ccc([S+]([O-])C)cc4)n3)cccc2c1,ReINVENT_52,-7.42386503623156,-6.26235390231216,415.5430000000001,5.757800000000005,3.5052237390469188,0.3797091594974691,64.63,4,1,4,False,51304764,0.5396982711155159,696069,0.43718949609652236,0.17391304347826086,0.11827956989247312
c1(-c2ncccc2)[nH]c(-c2ccncc2)c(-c2ccc3c(c2)nc(-c2ncccc2)[nH]3)c1,ReINVENT_53,-6.50179691552028,-7.12071258636112,414.4720000000001,5.744000000000004,2.6465059731651674,0.3850280263264389,83.13999999999999,4,2,4,True,CHEMBL256987,0.5696456429685759,CHEMBL1946337,0.6428492054672741,0.2222222222222222,0.10227272727272728
n1c(-c2nc3c(ccc(-c4c(-c5ccncc5)[nH]c(-c5ccncc5)n4)c3)cc2)ccnc1N1CC(C#N)CC1,ReINVENT_54,-7.44260423417943,-6.63045668177348,521.5880000000002,5.555780000000006,3.4610899896764957,0.3132413419768058,120.16,8,1,5,True,CHEMBL4288850,0.5342753806039195,50383511,0.45112497636604276,0.1271186440677966,0.15
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc(-c2ccncc2)cc1,ReINVENT_55,-7.44367161596022,-8.2676489456327,392.43700000000007,6.006800000000004,2.2670031597909137,0.4076326050764602,54.46,3,1,4,True,CHEMBL3719193,0.6196534593481158,CHEMBL1946333,0.6453277054754367,0.12987012987012986,0.14666666666666667
c1(-c2ccncc2)c(-c2ccc3c(c2)cc(-c2cn[nH]c2)[nH]3)[nH]c(-c2ccncc2)n1,ReINVENT_56,-6.73712480810527,-8.24528020040302,403.44900000000007,5.072100000000003,2.797812884743836,0.3824937984450983,98.93,4,3,4,True,CHEMBL1809111,0.5383853937527496,CHEMBL1946334,0.6202458922210732,0.1518987341772152,0.10714285714285714
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(-c4ccc(C#N)cc4)o3)n2)cc2c(cc1)cccc2,ReINVENT_57,-6.49008510639773,-8.66406539214387,438.4900000000001,7.090580000000005,2.5198249614253,0.3185868171834519,78.5,4,1,4,True,50932585,0.5151413938989089,50659453,0.5224255832662912,0.12857142857142856,0.11
c1c2c(c(Cn3c(-c4ccc5c(c4)C=CC5)cnc3)cc1)cc[nH]c2=O,ReINVENT_58,-9.06521866259813,-7.73478011051471,339.398,4.009200000000003,2.8057569619911327,0.6130256832233563,50.68,3,1,3,True,310194,0.6952341137123745,50611582,0.6392188993581865,0.13636363636363635,0.14772727272727273
C(CO)N=c1[nH]c(-c2c3c(cc(-c4ccncc4)cc3)[nH]c2)cnc1,ReINVENT_59,-8.33610520153704,-8.26496832170128,331.379,2.513,3.0806267039521096,0.5365708548792808,89.95,4,3,4,True,CHEMBL406620,0.6306867574616053,222130,0.6287926875714105,0.20512820512820512,0.1728395061728395
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(NS(=O)(=O)C)cc3)n2)ccc2[nH]cc(-c3ccc(F)c(F)c3)c2c1,ReINVENT_60,-7.76562680263211,-7.84895277240466,541.5830000000002,6.603700000000003,2.7013386661152534,0.22091786531588417,103.53,4,3,6,True,13958,0.5378455672068636,CHEMBL4546504,0.460099951636305,0.2111111111111111,0.13513513513513514
c12c(c(-c3ccc(-c4ccc(F)cc4)cc3)n[nH]1)Cc1c-2cc(OC)c(OC)c1,ReINVENT_61,-6.66458471556065,-7.89604025459084,386.42600000000016,5.471200000000004,2.2531533830596864,0.445422180224315,47.14,3,1,4,True,CHEMBL3891139,0.600143061516452,CHEMBL197698,0.5908585546633724,0.10344827586206896,0.1780821917808219
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(C=CCOCC)cc3)n2)ccncc1,ReINVENT_62,-5.76928587721558,-7.29382719034293,382.4670000000001,5.250400000000004,2.541870109356646,0.4434520563561888,63.69,4,1,7,True,CHEMBL1809114,0.5306698002350176,CHEMBL245733,0.5631634819532909,0.17105263157894737,0.11235955056179775
c1(-c2ccccc2)cc2c(cc1)NC(=O)COC2(c1cccnc1)c1cnc(C(C)=O)c(F)c1,ReINVENT_63,-5.37249781451476,-5.23984776285393,453.4730000000001,4.745900000000003,3.3951143046296597,0.4513945445430179,81.18,5,1,4,True,CHEMBL321315,0.42317785490561244,51422453,0.3742593238062043,0.1276595744680851,0.14285714285714285
c12cc([N+]([O-])=O)c(N3CCC(c4[nH]c5cccc(C(F)(F)F)c5c(=N)c4)C3)nc1cc[nH]c2=O,ReINVENT_64,-8.20952453269312,-7.2852941456041,470.4110000000002,3.804770000000002,3.703216956864642,0.30955011974476676,131.77,6,3,3,False,CHEMBL4098458,0.5834325933946941,CHEMBL246543,0.5313047285464099,0.1651376146788991,0.12727272727272726
c1cnc(-c2n[nH]c(=O)c(-c3ccncc3)c2-c2ccncc2)cc1,ReINVENT_65,-8.03180583215366,-8.86453445547969,327.34700000000004,2.9559000000000006,2.458043751769157,0.6251769638425383,84.42,5,1,3,True,CHEMBL261127,0.6860286948042903,CHEMBL220227,0.6101137043686415,0.22580645161290322,0.2641509433962264
c1(-c2ccc(-c3ccccc3)cc2)c(-c2ccncc2)[nH]c(-c2cc(F)c(F)cc2)n1,ReINVENT_66,-6.26713729752366,-7.37066548792749,409.4390000000001,6.750900000000005,2.187303534540691,0.3566344499234949,41.57,2,1,4,True,CHEMBL4216485,0.5520041109969167,50543920,0.6458031837916064,0.075,0.5098039215686274
c1ccccc1-c1c(-c2ccncc2)[nH]c(-c2cc(=NC3CCNCC3)[nH]cc2)n1,ReINVENT_67,-6.39701486532352,-6.64690395473914,396.49800000000016,3.786500000000003,3.074498648122807,0.490885973115314,81.75,4,3,4,True,CHEMBL603197,0.5025205100326184,CHEMBL4546504,0.5285404283422964,0.16,0.13592233009708737
c1c(-c2ccc3[nH]cc(-c4ccncc4)c3c2)cnc(=N)[nH]1,ReINVENT_68,-8.59965488839206,-7.74684720915592,287.326,3.09947,2.749567380855396,0.5292415160675666,81.21000000000001,3,3,2,True,CHEMBL582853,0.7121809148535206,50383511,0.589827146500425,0.30357142857142855,0.15
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc([S+](C)[O-])cc3OC)n2)cc2c(cc1)nccn2,ReINVENT_69,-6.51812002993271,-6.88223522421538,441.51600000000013,4.494900000000003,3.51471195971728,0.40337684191547374,99.64,6,1,5,False,CHEMBL1809111,0.518967499216219,50543920,0.6866458882761928,0.1724137931034483,0.5081967213114754
c1(-c2[nH]c(-c3cc4c(cc3)[nH]cc4)cc2)cc2c(cc1)[nH]c(-c1ccncc1)c2,ReINVENT_70,-7.39054209954887,-8.03174109075299,374.44700000000006,6.373300000000004,2.6282596164814365,0.33091115600033355,60.26,1,3,3,True,14383,0.5557326793378295,CHEMBL1771668,0.6153757756837508,0.13513513513513514,0.09876543209876543
c1(-c2c(-c3ccncc3)[nH]c(-c3ccncc3)n2)cc2c(cc1)N(C)CCS2(=O)=O,ReINVENT_71,-7.13934310765564,-6.74530788567371,417.49400000000026,3.424200000000001,2.858249629555166,0.549135043932473,91.84,6,1,3,True,51023138,0.585398773006135,CHEMBL3220476,0.4698972099853157,0.1875,0.08695652173913043
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccc(NS(=O)(c4ccc(F)cc4)=O)cc3)n2)ccnc1,ReINVENT_72,-6.06844356496522,-7.41964745513645,471.5170000000001,5.140600000000004,2.3700734001153254,0.35712255518770697,100.63,5,2,6,True,CHEMBL360573,0.5448919449901768,CHEMBL401123,0.4870340356564019,0.20987654320987653,0.21333333333333335
c1(-c2cn(-c3ccnc4c3c(-c3ccc5c(ccn5C)c3)[nH]n4)cn2)ccncc1,ReINVENT_73,-8.7161675546717,-4.90688495104485,391.438,4.364300000000004,2.925443782089962,0.48609618519626546,77.21,6,1,3,True,13924,0.6080218778486782,CHEMBL1288160,0.4746635459332943,0.19101123595505617,0.14772727272727273
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc([S+](C)[O-])cc3)n2)cc2c(cc1)n(CC)c(C)n2,ReINVENT_74,-7.24672884841161,-6.21793593199409,441.5600000000002,5.2211200000000035,3.456369662813623,0.37910300306980865,82.45,5,1,5,False,CHEMBL4093559,0.5064639569759024,CHEMBL3394096,0.5568058861718244,0.14893617021276595,0.18181818181818182
N1(Cc2c[nH]c3ccccc32)C(=O)c2c(cccc2)C1=O,ReINVENT_75,-7.50887704475189,-8.4145765591333,276.295,2.964100000000001,1.8490733808357014,0.7315257013738999,53.17,2,1,2,True,CHEMBL44545,0.6230782823820463,CHEMBL248643,0.6705862009337714,0.1694915254237288,0.1206896551724138
