SMILES,Title,gsk3b_rf,jnk3_rf,Score,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
CN(F)c1cc(-c2ccnc(NC3CC3)n2)cc(NC2CCC2)n1,MARS_10,0.73,0.65,0.65,-7.91728554270262,-6.23010666917939,328.3950000000001,3.3980000000000015,2.9050183243520102,0.7924436806351074,65.97,6,2,6,True,CHEMBL4648047,0.6370880605078336,CHEMBL1923216,0.5964212152420185,0.17857142857142858,0.11904761904761904
Fc1ccc(-c2ccnc(NC3CC3)n2)cc1,MARS_11,0.77,0.66,0.65,-8.67699523367962,-7.92985750165232,229.258,2.857,1.8739240386694398,0.8789656441762665,37.81,3,1,3,True,CHEMBL2094331,0.654275092936803,CHEMBL4462592,0.5843410534945686,0.12280701754385964,0.1509433962264151
FC1CC(Nc2nccc(-c3ccnc(NC4CC4)c3)n2)CCO1,MARS_12,0.69,0.66,0.65,-8.7985839888002,-9.06983946761623,329.37900000000013,2.9994000000000014,3.557286189645815,0.8785001124495107,71.96000000000001,6,2,5,True,CHEMBL2391100,0.6722888001183607,CHEMBL507249,0.6868761009982385,0.19480519480519481,0.390625
Fc1nc(F)c(-c2ccnc(NC3CC3)c2)[nH]1,MARS_13,0.62,0.63,0.65,-8.03795658872287,-7.84181160374921,236.225,2.3241999999999994,2.999238697225172,0.8594456502475715,53.6,3,2,3,True,CHEMBL3410087,0.6173384870237437,CHEMBL3911431,0.5973585579154025,0.27419354838709675,0.12857142857142856
Fc1ccnc(Nc2nccc(-c3cn[nH]c3)n2)n1,MARS_14,0.76,0.5,0.622816,-7.28386881973011,-8.97862961468789,257.232,1.5393999999999992,2.7753670753926496,0.691264511317753,92.27000000000001,6,2,3,True,13903,0.6942307692307692,CHEMBL1784665,0.7357414448669202,0.3448275862068966,0.16363636363636364
Fc1cccc(-c2ccnc(NC3CC3)c2)n1,MARS_15,0.5,0.61,0.625,-7.7764931041485,-6.33653286764522,229.25799999999998,2.857,2.2562982929865516,0.8222375182213675,37.81,3,1,3,True,50855578,0.6759615384615385,CHEMBL248643,0.6515291936978684,0.12727272727272726,0.14754098360655737
Fc1ccc(-c2ccnc(Nc3ncccn3)n2)cc1F,MARS_16,0.69,0.52,0.63,-9.07213233114198,-8.35207998763336,285.25700000000006,2.9554,2.1923762812140115,0.8011939142272971,63.59,5,1,3,True,CHEMBL256518,0.7807748008689356,51238049,0.626283724978242,0.19642857142857142,0.1
c1cc(-c2ccnc(NC3CCC3)n2)cc(NC2CCC2)n1,MARS_17,0.76,0.75,0.65,-8.63659464665887,-9.46622453511,295.39000000000004,3.4674000000000023,2.3288130206482958,0.884082754176855,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6837554045707226,CHEMBL507249,0.6930813776287716,0.21212121212121213,0.4528301886792453
c1cc(-c2ccnc(NC3CC3)n2)cc(NC2CC2)n1,MARS_18,0.77,0.75,0.65,-8.14195668950632,-8.33693535246343,267.33599999999996,2.6872000000000007,2.312811551359607,0.8717390276608555,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6803874092009685,CHEMBL507249,0.641326137239784,0.2153846153846154,0.4339622641509434
Fc1ccnc(Nc2cccc(-c3ccncc3F)c2)n1,MARS_19,0.7,0.65,0.65,-7.93708147645939,-8.03234090266788,284.269,3.5604000000000013,2.310039080709597,0.7470760036512386,50.7,4,1,3,True,13896,0.6937965260545906,CHEMBL1288160,0.5815128548075494,0.3770491803278688,0.2054794520547945
c1cnc(Nc2cc(-c3ccnc(NC4CCC4)n3)ccn2)nc1,MARS_20,0.73,0.78,0.65,-8.76413150502084,-9.39970994652761,319.372,3.036600000000001,2.421728361953182,0.7468596838320958,88.51,7,2,5,True,CHEMBL256518,0.6944356623458742,CHEMBL203792,0.7258725448636427,0.15873015873015872,0.3090909090909091
Fc1ccc(Nc2ccc(F)c(-c3ccnc(NC4CC4)c3)c2)cc1,MARS_21,0.62,0.75,0.6398189999999999,-8.57656763747636,-7.32818961023857,337.3730000000001,5.344700000000003,2.102982005407412,0.6592773564407985,36.95,3,2,5,True,CHEMBL256518,0.679607181218352,CHEMBL1923216,0.6894133513149022,0.13432835820895522,0.14102564102564102
c1cnc(Nc2cc(-c3ccnc(NC4CC4)n3)ccn2)nc1,MARS_22,0.74,0.77,0.65,-8.48645988682884,-9.3607191527329,305.345,2.6465000000000005,2.4114990489919332,0.7487052023794316,88.51,7,2,5,True,CHEMBL256518,0.7115889691398556,CHEMBL203792,0.733914306463326,0.16129032258064516,0.3148148148148148
Fc1ccc(F)c(-c2ccnc(Nc3ccncc3)c2)n1,MARS_23,0.48,0.77,0.62,-8.52389798566236,-7.13853859141084,284.26900000000006,3.5604000000000022,2.422440341743645,0.7470760036512386,50.7,4,1,3,True,CHEMBL359794,0.6879386322833361,CHEMBL571619,0.7336570140454308,0.18571428571428572,0.21666666666666667
FC1C(F)C1(F)Nc1cc(-c2ccnc(NC3CC3)n2)ccn1,MARS_24,0.66,0.69,0.648413,-8.71678985365372,-9.09798865489111,321.3060000000001,2.8804000000000007,3.7571232891241353,0.8292841388109942,62.730000000000004,5,2,5,True,CHEMBL4446123,0.6814439518682711,CHEMBL507249,0.6597968936678614,0.30434782608695654,0.3709677419354839
Fc1ccc(Nc2cc(-c3ccc(F)cc3F)ccn2)cc1,MARS_25,0.6,0.92,0.65,-9.36328208076281,-8.27559294491655,300.283,4.909500000000002,1.9055343461977472,0.7431322005227744,24.92,2,1,3,True,CHEMBL1630466,0.7406943450250537,CHEMBL383177,0.6596331764323973,0.15789473684210525,0.2549019607843137
Fc1nc(F)c(-c2ccnc(NC3CCC3)c2)[nH]1,MARS_26,0.59,0.64,0.6475,-8.03108013556752,-8.20606411436527,250.25199999999998,2.7143000000000006,2.955581036851644,0.8801908833506583,53.6,3,2,3,True,CHEMBL1089722,0.676613059484596,CHEMBL3911431,0.6136563103387748,0.1,0.1267605633802817
Fc1ccc(-c2ccnc(NC3CC3)c2)cc1,MARS_27,0.58,0.81,0.645,-8.77624896383736,-7.86165542710072,228.27,3.4620000000000015,1.8364235677118277,0.8697368702848817,24.92,2,1,3,True,CHEMBL3410087,0.6661083193746511,CHEMBL4462592,0.5731707317073171,0.32727272727272727,0.1320754716981132
c1cc(-c2ccnc(NC3CCC3)n2)cc(NC2CCC2)n1,MARS_28,0.76,0.75,0.65,-8.63659464665887,-9.46622453511,295.39000000000004,3.4674000000000023,2.3288130206482958,0.884082754176855,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6837554045707226,CHEMBL507249,0.6930813776287716,0.21212121212121213,0.4528301886792453
Fc1ccnc(Nc2cccc(-c3ccncc3F)c2)n1,MARS_29,0.7,0.65,0.65,-7.93708147645939,-8.03234090266788,284.269,3.5604000000000013,2.310039080709597,0.7470760036512386,50.7,4,1,3,True,13896,0.6937965260545906,CHEMBL1288160,0.5815128548075494,0.3770491803278688,0.2054794520547945
Fc1ccnc(Nc2cccc(-c3ccnc(NC4CCC4)c3)n2)n1,MARS_30,0.64,0.62,0.647674,-8.71887274111544,-9.24615090726101,336.37400000000014,3.780700000000002,2.563543754617106,0.6906964262725562,75.62,6,2,5,True,CHEMBL2391100,0.7015014122194143,CHEMBL205672,0.7522035825988058,0.2,0.34615384615384615
Fc1ccc(-c2ccnc(Nc3nccc(F)n3)c2)cc1,MARS_31,0.68,0.77,0.65,-8.9950468958212,-7.7734319398727,284.269,3.5604000000000005,2.221948034051337,0.7470760036512386,50.7,4,1,3,True,CHEMBL1630460,0.7185241536705972,CHEMBL383177,0.6437860082304527,0.13725490196078433,0.16666666666666666
c1cc(Nc2cc(-c3cc[nH]n3)ccn2)ccn1,MARS_32,0.62,0.79,0.65,-7.47875360018772,-7.42144350600092,237.26600000000002,2.6102999999999996,2.6798820926585822,0.7344267086777545,66.49000000000001,4,2,3,True,CHEMBL1630460,0.763979057591623,CHEMBL1771656,0.6699346405228759,0.17647058823529413,0.3157894736842105
CNc1cc(-c2cc(Nc3nccc(F)n3)ccc2F)ccn1,MARS_33,0.69,0.7,0.65,-7.80948932571707,-7.53401712961471,313.31100000000004,3.602100000000001,2.462187325421386,0.7206062875088578,62.730000000000004,5,2,4,True,13896,0.7401587558723473,CHEMBL3220488,0.5359371100573995,0.36507936507936506,0.2073170731707317
CNc1cc(-c2cc(Nc3nccc(F)n3)ccc2F)ccn1,MARS_34,0.69,0.7,0.65,-7.80948932571707,-7.53401712961471,313.31100000000004,3.602100000000001,2.462187325421386,0.7206062875088578,62.730000000000004,5,2,4,True,13896,0.7401587558723473,CHEMBL3220488,0.5359371100573995,0.36507936507936506,0.2073170731707317
FC1(Nc2cc(-c3ccnc(NC4CC4)n3)ccn2)CC1,MARS_35,0.63,0.66,0.65,-8.29295222527576,-8.75133275183925,285.326,2.984400000000001,2.8340628512014003,0.8268945400944289,62.730000000000004,5,2,5,True,CHEMBL346371,0.6397505596418293,CHEMBL507249,0.6495882891125343,0.11267605633802817,0.3770491803278688
Fc1ccnc(Nc2cc(-c3cn[nH]c3)ccn2)n1,MARS_36,0.79,0.73,0.65,-7.58009897517367,-8.96696065018824,256.244,2.144399999999999,2.7098772402278133,0.7017252896594144,79.38000000000001,5,2,3,True,CHEMBL1630460,0.7578925789257893,CHEMBL1784665,0.719498502994012,0.12280701754385964,0.19642857142857142
FC1CCC1Nc1nccc(-c2ccnc(NC3CC3)c2)n1,MARS_37,0.68,0.67,0.65,-8.60065243418361,-9.33155497533348,299.3530000000001,3.0253000000000005,3.3465715367985975,0.8882958304082426,62.730000000000004,5,2,5,True,CHEMBL272629,0.6499779119422766,CHEMBL507249,0.726959787200751,0.08433734939759036,0.3548387096774194
Fc1ccnc(Nc2cccc(-c3ccncc3F)c2)n1,MARS_38,0.7,0.65,0.65,-7.93708147645939,-8.03234090266788,284.269,3.5604000000000013,2.310039080709597,0.7470760036512386,50.7,4,1,3,True,13896,0.6937965260545906,CHEMBL1288160,0.5815128548075494,0.3770491803278688,0.2054794520547945
FC1(F)CCC1Nc1nccc(-c2ccnc(NC3CCC3)c2)n1,MARS_39,0.59,0.62,0.6475,-9.01668733921182,-9.6473156660955,331.3700000000002,3.712600000000001,3.347608784608373,0.8743133441416021,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6726084373143197,CHEMBL203289,0.7165699731144757,0.18421052631578946,0.2857142857142857
FC1CC1Nc1cc(-c2ccnc(NC3CC3)n2)ccn1,MARS_40,0.68,0.7,0.65,-8.39473038739683,-8.98979074688364,285.326,2.6352,3.3067768961978556,0.8839388711532775,62.730000000000004,5,2,5,True,CHEMBL2391100,0.633256351039261,CHEMBL507249,0.67578064315675,0.19444444444444445,0.38333333333333336
Fc1ccc(-c2cccc(Nc3nccc(F)n3)c2)c(F)c1,MARS_41,0.7,0.59,0.6475,-8.64746163672713,-8.24198123971464,301.271,4.304500000000001,2.1531409396043397,0.7327296746906513,37.81,3,1,3,True,CHEMBL253272,0.693731243747916,CHEMBL1288160,0.572567783094099,0.28125,0.16
c1cc(-c2ccnc(NC3CCOCC3)n2)cc(NC2CC2)n1,MARS_42,0.75,0.78,0.65,-8.54969838550906,-8.76141683634252,311.38900000000007,2.7038,2.4607099087204407,0.8843911043797325,71.96000000000001,6,2,5,True,CHEMBL255948,0.6364181790910455,CHEMBL507249,0.6855308347021054,0.28125,0.3898305084745763
Fc1ccc(Nc2nccc(-c3cccc(F)c3)n2)cc1,MARS_43,0.88,0.75,0.65,-9.11267834585936,-8.61208724268013,283.281,4.165400000000002,1.8219235699908083,0.7837517154076079,37.81,3,1,3,True,CHEMBL256518,0.7981169654173457,51238049,0.639854065323141,0.25,0.11290322580645161
c1ccc(-c2ccnc(NC3CCC3)n2)cc1,MARS_44,0.6,0.59,0.6475,-8.51594454491619,-8.02140101245587,225.29499999999996,3.1080000000000014,1.8098410433790182,0.8717638928378281,37.81,3,1,3,True,CHEMBL1630460,0.7146376514062821,CHEMBL1725279,0.5948501307583987,0.2127659574468085,0.12
Fc1ccc(Nc2nc(NC3CCC3)ncc2F)cc1,MARS_45,0.64,0.56,0.64,-8.04094291389819,-8.13639858600427,276.28999999999996,3.4628000000000014,2.077570046403583,0.8974908447973601,49.84,4,2,4,True,CHEMBL3410095,0.6775621382362955,CHEMBL1761573,0.6353014488238043,0.14925373134328357,0.3220338983050847
FC1(F)CC(Nc2cc(-c3ccnc(NC4CCC4)n3)ccn2)C1,MARS_46,0.62,0.7,0.65,-8.94497571529606,-9.93620100033561,331.37000000000006,3.712600000000002,2.687503392225313,0.8743133441416021,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6821241585639491,CHEMBL507249,0.7303676804357694,0.1891891891891892,0.39344262295081966
Fc1ccnc(Nc2cc(F)c(F)c(-c3cn[nH]c3)c2)n1,MARS_47,0.71,0.61,0.65,-8.0194804625705,-9.56507309404736,291.236,3.0276000000000005,2.781341312739862,0.7278901648540668,66.49000000000001,4,2,3,True,CHEMBL3401118,0.6091279543602282,CHEMBL1784665,0.7356468023255813,0.16455696202531644,0.14516129032258066
Fc1cncc(-c2ccnc(NC3CC3)c2)n1,MARS_48,0.6,0.65,0.65,-7.52155071364274,-6.94246790179447,230.24599999999995,2.252,2.5735814954983276,0.8781890788006139,50.7,4,1,3,True,CHEMBL2094331,0.6739404112463281,CHEMBL1991853,0.6331217326362957,0.11290322580645161,0.13432835820895522
c1cc(-c2ccnc(Nc3ccnc(NC4CCC4)n3)n2)ccn1,MARS_49,0.76,0.59,0.6475,-8.66165328312464,-8.64526466134675,319.372,3.0366,2.4016631398513404,0.7468596838320958,88.51,7,2,5,True,50922237,0.6699122325836533,CHEMBL379254,0.690745243884995,0.32786885245901637,0.1791044776119403
Fc1cnc(NC2CCC2)nc1-c1ccnc(NC2CC2)n1,MARS_50,0.68,0.53,0.6325,-8.49815833785397,-8.75451465377874,300.34100000000007,2.6114000000000006,2.5232750055384052,0.8837698671124945,75.62,6,2,5,True,CHEMBL3410100,0.6815090673575129,CHEMBL507249,0.6755433119069483,0.20967741935483872,0.4107142857142857
CNc1cc(-c2n[nH]c3cc(F)ccc23)ccn1,MARS_51,0.71,0.61,0.65,-7.84611767830759,-7.58083110964306,242.25700000000003,2.8057000000000007,2.3454257810215005,0.7261410809469265,53.6,3,2,2,True,29987,0.6409389297791923,CHEMBL4462592,0.5999185999185999,0.24528301886792453,0.2
c1cc(-c2ccnc(NC3CCC3)n2)cc(NC2CCC2)n1,MARS_52,0.76,0.75,0.65,-8.63659464665887,-9.46622453511,295.39000000000004,3.4674000000000023,2.3288130206482958,0.884082754176855,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6837554045707226,CHEMBL507249,0.6930813776287716,0.21212121212121213,0.4528301886792453
CNc1nccc(-c2cnc(NC3CC3)nc2)n1,MARS_53,0.74,0.63,0.65,-7.22787817705473,-7.79689367580132,242.28599999999997,1.5495999999999999,2.4188423490688393,0.8468256249995718,75.62,6,2,4,True,CHEMBL4846517,0.6221052631578947,CHEMBL3911431,0.6333508679642293,0.11428571428571428,0.16923076923076924
FC1(F)CC1Nc1cc(-c2ccnc(NC3CCC3)n2)ccn1,MARS_54,0.64,0.65,0.65,-8.91188968032805,-9.60226737388558,317.343,3.3225000000000007,3.2049105362008845,0.8855387978384178,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6718393427658603,CHEMBL507249,0.6875659382064807,0.1891891891891892,0.39344262295081966
Fc1ccnc(Nc2cc(-c3cncc(F)c3F)ccn2)n1,MARS_55,0.68,0.73,0.65,-8.65577029270047,-7.91952290262663,303.24699999999996,3.094500000000001,2.74074973081313,0.7532738173291174,63.59,5,1,3,True,CHEMBL256518,0.7392962385162073,CHEMBL4777530,0.6655585106382979,0.1746031746031746,0.08108108108108109
Fc1nc(NC2CC2)ncc1-c1ccc(-c2ccnc(NC3CC3)c2)cc1,MARS_56,0.56,0.73,0.6233489999999999,-6.63117039237873,-7.10141949765216,361.42400000000015,4.493300000000003,2.502068565388317,0.6333978403282727,62.730000000000004,5,2,6,True,CHEMBL4632671,0.5704169944925256,CHEMBL4778645,0.6126191337917722,0.1,0.14772727272727273
FC1(F)CC(Nc2nccc(-c3ccnc(NC4CC4)c3)n2)CC(F)(F)O1,MARS_57,0.6,0.67,0.65,-8.50387604645372,-8.50548803171036,383.3490000000002,3.889400000000002,3.2821237351173735,0.7636611743894668,71.96000000000001,6,2,5,True,CHEMBL2391100,0.6228626585769443,CHEMBL203289,0.6562581999475203,0.2,0.2631578947368421
Fc1ccnc(Nc2cc(-c3ncc(F)c(F)n3)ccn2)n1,MARS_58,0.57,0.64,0.6425,-9.005240373445,-8.43937312628204,304.23499999999996,2.4895000000000005,2.8184178626812617,0.7491704976673158,76.48,6,1,3,True,CHEMBL1630460,0.7298524404086266,51238049,0.6353790613718411,0.12280701754385964,0.07462686567164178
Fc1ccnc(-c2ccnc(Nc3nccc(F)n3)c2)c1,MARS_59,0.69,0.67,0.65,-8.68622375708674,-7.40622493900089,285.257,2.9554,2.5724146166490662,0.7494851476995917,63.59,5,1,3,True,CHEMBL1630460,0.7838856916054773,CHEMBL4464624,0.6334341906202723,0.1320754716981132,0.0945945945945946
Fc1ccnc(Nc2cc(F)c(F)c(-c3ccnc(NC4CC4)c3)c2)n1,MARS_60,0.68,0.75,0.641945,-9.11012174783778,-7.63212002328445,357.33900000000006,4.273800000000002,2.6510513189854894,0.6677817725357086,62.730000000000004,5,2,5,True,CHEMBL4529679,0.5844959359456509,CHEMBL482708,0.6538129496402878,0.25301204819277107,0.15584415584415584
Fc1ccc2c(-c3ccnc(NC4CCC4)c3)n[nH]c2c1,MARS_61,0.68,0.68,0.65,-8.33987276428727,-8.01837244983233,282.32199999999995,3.7284000000000006,2.3552637969769368,0.7693097329302259,53.6,3,2,3,True,CHEMBL3410101,0.703043551370439,CHEMBL4470981,0.6741555624418964,0.2698412698412698,0.17105263157894737
Fc1cc(-c2ccnc(NC3CCC3)n2)cc(F)c1NC1CC1,MARS_62,0.65,0.62,0.65,-7.72586010723121,-7.38148710394384,316.355,3.9605000000000024,2.426787583624721,0.8764248962467297,49.84,4,2,5,True,CHEMBL4446123,0.6324720990674209,50383511,0.5556594948550047,0.21428571428571427,0.17721518987341772
Fc1ccc(-c2ccnc(Nc3ncccn3)n2)cn1,MARS_63,0.72,0.52,0.63,-8.76136068259547,-8.27208045036454,268.25500000000005,2.2112999999999987,2.3848094068647097,0.7337943628577647,76.48,6,1,3,True,CHEMBL1630460,0.7725624496373892,51238049,0.6104855735397607,0.16,0.1
CNc1cc(-c2ccnc(Nc3nc(F)c(F)c(F)n3)n2)ccn1,MARS_64,0.67,0.6,0.65,-8.40783037099919,-8.41287235407703,333.277,2.5311999999999992,2.907427147881421,0.7092939548334131,88.51,7,2,4,True,CHEMBL3401127,0.5937957272461223,CHEMBL203792,0.6093875367745387,0.17333333333333334,0.2631578947368421
c1cc(-c2ccnc(NC3CCC3)n2)cc(NC2CC2)n1,MARS_65,0.76,0.76,0.65,-8.55624722249206,-9.12022465339619,281.363,3.077300000000001,2.3196474035343133,0.8815339216563658,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6800630417651694,CHEMBL507249,0.6755171349181845,0.208955223880597,0.4444444444444444
Fc1cc(Nc2ncc(-c3ccnc(NC4CC4)c3)cn2)cc(F)n1,MARS_66,0.6,0.72,0.648051,-7.27411167225618,-7.93064935761657,340.33700000000005,3.529700000000001,2.7351358515612567,0.6922023989510011,75.62,6,2,5,True,14673,0.5751088107281497,CHEMBL248833,0.6306590257879656,0.08888888888888889,0.20588235294117646
CNc1cc(-c2cncc(Nc3nccc(F)n3)c2)ccn1,MARS_67,0.63,0.62,0.65,-7.76436232929627,-7.79076515268851,296.309,2.8580000000000005,2.574798597571373,0.7210235513821188,75.62,6,2,4,True,CHEMBL1210175,0.7114060137745675,CHEMBL199136,0.6759519928878353,0.15873015873015872,0.1111111111111111
Fc1cnccc1-c1cccc(Nc2ccnc(NC3CC3)n2)c1,MARS_68,0.62,0.61,0.65,-7.82366061014964,-9.75612020608969,321.3590000000001,3.9956000000000014,2.3222391776163924,0.7436255598199399,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6443238486359637,CHEMBL1644623,0.694687682428488,0.16049382716049382,0.2631578947368421
Fc1ccnc(Nc2ccccc2)n1,MARS_69,0.76,0.55,0.6375,-7.18226987692421,-7.65905237234704,189.193,2.3593,1.9197256138347267,0.7367080010764641,37.81,3,1,2,True,CHEMBL76559,0.7540078843626807,51238049,0.6182939362795479,0.16666666666666666,0.1320754716981132
c1cc(-c2ccnc(NC3CC3)c2)ccn1,MARS_70,0.62,0.58,0.645,-7.64756496608549,-8.15477073447138,211.268,2.7179,2.0291484753483324,0.8478160750550867,37.81,3,1,3,True,CHEMBL2094331,0.6937675221048092,CHEMBL1644623,0.5728867623604466,0.1111111111111111,0.4339622641509434
CNc1cc(-c2cccc(Nc3nccc(F)n3)c2)ccn1,MARS_71,0.68,0.7,0.65,-8.3665734801725,-7.87713934671998,295.321,3.463000000000001,2.3460471552636797,0.721671151502516,62.730000000000004,5,2,4,True,CHEMBL2391100,0.6851618987739705,CHEMBL3220488,0.5590077995141286,0.25,0.2125
c1cc(-c2ccnc(NC3CCC3)n2)ccn1,MARS_72,0.75,0.56,0.64,-8.11114622457733,-8.17338504010711,226.283,2.503,2.0770247356867095,0.873224120476297,50.7,4,1,3,True,CHEMBL1630460,0.651542288557214,CHEMBL1725279,0.5974104794659114,0.11764705882352941,0.07692307692307693
c1cc(-c2ccnc(NC3CC3)n2)cc(NC2CC2)n1,MARS_73,0.77,0.75,0.65,-8.14195668950632,-8.33693535246343,267.33599999999996,2.6872000000000007,2.312811551359607,0.8717390276608555,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6803874092009685,CHEMBL507249,0.641326137239784,0.2153846153846154,0.4339622641509434
c1cc(-c2cc(NC3CCC3)nc(NC3CC3)c2)nc(NC2CC2)n1,MARS_74,0.73,0.72,0.65,-6.9718429173286,-5.44586333663693,336.44300000000004,3.651600000000002,2.5692127746381814,0.7164896716639604,74.76,6,3,7,True,CHEMBL253769,0.5875567077122489,50383514,0.4884823101509974,0.05333333333333334,0.3880597014925373
FC1(F)CC1(F)Nc1cc(-c2ccnc(NC3CC3)n2)ccn1,MARS_75,0.67,0.67,0.65,-8.69915961646656,-8.90824902671734,321.3060000000001,3.2296000000000005,3.454795968893193,0.8279947769985583,62.730000000000004,5,2,5,True,CHEMBL4446123,0.6704617330803289,CHEMBL507249,0.6165599534342259,0.3088235294117647,0.3770491803278688
CNc1cc(-c2cc(Nc3ccc(F)cc3)ccc2F)ccn1,MARS_76,0.63,0.72,0.65,-8.38916069651631,-7.40344716420858,311.33500000000004,4.812100000000002,2.048625786959848,0.7256253235294958,36.95,3,2,4,True,CHEMBL256518,0.7119226989846053,CHEMBL1681992,0.6172711058263971,0.14285714285714285,0.08571428571428572
Fc1ccnc(Nc2ncc(-c3ccnc(NC4CC4)c3)c(F)n2)n1,MARS_77,0.6,0.69,0.647452,-7.2419854893161,-8.3300130956318,341.3250000000001,2.9247000000000005,2.8604454669458725,0.6898087029460209,88.51,7,2,5,True,CHEMBL2391131,0.6327238756172427,CHEMBL1771709,0.6580064308681672,0.10666666666666667,0.18072289156626506
Fc1cccc(-c2ccnc(Nc3cncnc3)c2)n1,MARS_78,0.6,0.66,0.65,-8.28496328413077,-7.0982209091715,267.267,2.8163,2.477834439459235,0.739150658156226,63.59,5,1,3,True,13910,0.6775208431650149,CHEMBL4777530,0.6928583900820674,0.22535211267605634,0.11267605633802817
Fc1cnc(Nc2cc(-c3cccc(NC4CC4)n3)ccn2)nc1,MARS_79,0.55,0.72,0.6375,-8.64227814412099,-8.50117024782164,322.347,3.390600000000001,2.4968668699240855,0.7497384141080113,75.62,6,2,5,True,CHEMBL256518,0.6891741955935964,CHEMBL203792,0.7103040540540541,0.1791044776119403,0.2786885245901639
